trait ,  trait_department ,  trait_category ,  trait_name ,  store ,  store_type
T1,TD1,TC1,TN1,S1,ST1
T2,TD2,TC2,TN2,S2,ST2
T3,TD3,TC3,TN3,S3,ST3
T4,TD4,TC4,TN4,S4,ST4
T5,TD5,TC5,TN5,S5,ST5
T6,TD6,TC6,TN6,S6,ST6
T7,TD7,TC7,TN7,S7,ST7
T8,TD8,TC8,TN8,S8,ST8
T9,TD9,TC9,TN9,S9,ST9
T10,TD10,TC10,TN10,S10,ST10
T11,TD11,TC11,TN11,S11,ST11
T12,TD12,TC12,TN12,S12,ST12
T13,TD13,TC13,TN13,S13,ST13
T14,TD14,TC14,TN14,S14,ST14
T15,TD15,TC15,TN15,S15,ST15
T16,TD16,TC16,TN16,S16,ST16
T17,TD17,TC17,TN17,S17,ST17
T18,TD18,TC18,TN18,S18,ST18
T19,TD19,TC19,TN19,S19,ST19
T20,TD20,TC20,TN20,S20,ST20
T21,TD21,TC21,TN21,S21,ST21
T22,TD22,TC22,TN22,S22,ST22
T23,TD23,TC23,TN23,S23,ST23
T24,TD24,TC24,TN24,S24,ST24
T25,TD25,TC25,TN25,S25,ST25
T26,TD26,TC26,TN26,S26,ST26
T27,TD27,TC27,TN27,S27,ST27
T28,TD28,TC28,TN28,S28,ST28
T29,TD29,TC29,TN29,S29,ST29
T30,TD30,TC30,TN30,S30,ST30
T31,TD31,TC31,TN31,S31,ST31
T32,TD32,TC32,TN32,S32,ST32
T33,TD33,TC33,TN33,S33,ST33
T34,TD34,TC34,TN34,S34,ST34
T35,TD35,TC35,TN35,S35,ST35
T36,TD36,TC36,TN36,S36,ST36
T37,TD37,TC37,TN37,S37,ST37
T38,TD38,TC38,TN38,S38,ST38
T39,TD39,TC39,TN39,S39,ST39
T40,TD40,TC40,TN40,S40,ST40
T41,TD41,TC41,TN41,S41,ST41
T42,TD42,TC42,TN42,S42,ST42
T43,TD43,TC43,TN43,S43,ST43
T44,TD44,TC44,TN44,S44,ST44
T45,TD45,TC45,TN45,S45,ST45
T46,TD46,TC46,TN46,S46,ST46
T47,TD47,TC47,TN47,S47,ST47
T48,TD48,TC48,TN48,S48,ST48
T49,TD49,TC49,TN49,S49,ST49
